Age;Height;Plot;SI;random;type
26;13.3;9581a;23;0.14;StemAnalysis
31;15.3;9581a;23;0.02;StemAnalysis
38;17.3;9581a;23;0.41;StemAnalysis
42;19.3;9581a;23;0.79;StemAnalysis
47;21.3;9581a;23;0.28;StemAnalysis
56;23.3;9581a;23;0.29;StemAnalysis
67;27.3;9581a;23;0.93;StemAnalysis
82;29.3;9581a;23;0.09;StemAnalysis
87;30.17;9581a;23;0.28;StemAnalysis
0;0;9581b;23;0.01;StemAnalysis
2;0.26;9581b;23;0.77;StemAnalysis
8;1.3;9581b;23;0.86;StemAnalysis
10;2.3;9581b;23;0.87;StemAnalysis
11;3.3;9581b;23;0.63;StemAnalysis
13;4.3;9581b;23;0.57;StemAnalysis
16;5.3;9581b;23;0.88;StemAnalysis
17;7.3;9581b;23;0.97;StemAnalysis
20;9.3;9581b;23;0.96;StemAnalysis
23;11.3;9581b;23;0.01;StemAnalysis
27;13.3;9581b;23;0.14;StemAnalysis
31;15.3;9581b;23;0.44;StemAnalysis
39;17.3;9581b;23;0.76;StemAnalysis
43;19.3;9581b;23;0.34;StemAnalysis
48;21.63;9581b;23;0.88;StemAnalysis
68;15;9859a;17;0.8;H0_Age
0;0;9861a;23;0.14;StemAnalysis
1;0.21;9861a;23;0.74;StemAnalysis
2;1.3;9861a;23;0.9;StemAnalysis
6;2.3;9861a;23;0.76;StemAnalysis
9;3.3;9861a;23;0.7;StemAnalysis
11;4.3;9861a;23;0.75;StemAnalysis
14;5.3;9861a;23;0.24;StemAnalysis
18;7.3;9861a;23;0.61;StemAnalysis
24;9.3;9861a;23;0.81;StemAnalysis
32;11.3;9861a;23;0.74;StemAnalysis
39;13.3;9861a;23;0.22;StemAnalysis
54;16.66;9861a;23;0.5;StemAnalysis
0;0;9861b;23;0.05;StemAnalysis
4;0.14;9861b;23;0.71;StemAnalysis
11;1.3;9861b;23;0.54;StemAnalysis
15;2.3;9861b;23;0.69;StemAnalysis
18;3.3;9861b;23;0.59;StemAnalysis
21;4.3;9861b;23;0.4;StemAnalysis
22;5.3;9861b;23;0.95;StemAnalysis
29;7.3;9861b;23;0.26;StemAnalysis
37;9.3;9861b;23;0.07;StemAnalysis
45;11.3;9861b;23;0.11;StemAnalysis
55;13.3;9861b;23;0.74;StemAnalysis
60;14.53;9861b;23;0.16;StemAnalysis
0;0;9893a;23;0.89;StemAnalysis
7;0.27;9893a;23;0.2;StemAnalysis
12;1.3;9893a;23;0.35;StemAnalysis
14;2.3;9893a;23;0.13;StemAnalysis
17;3.3;9893a;23;0.16;StemAnalysis
19;4.3;9893a;23;0.44;StemAnalysis
22;5.3;9893a;23;0.98;StemAnalysis
25;7.3;9893a;23;0.85;StemAnalysis
27;9.3;9893a;23;0.7;StemAnalysis
31;11.3;9893a;23;0.97;StemAnalysis
37;13.3;9893a;23;0.9;StemAnalysis
43;15.3;9893a;23;0.25;StemAnalysis
48;17.3;9893a;23;0.31;StemAnalysis
58;19.3;9893a;23;0.29;StemAnalysis
68;21.3;9893a;23;0.54;StemAnalysis
81;23.3;9893a;23;0.55;StemAnalysis
97;25.3;9893a;23;0.5;StemAnalysis
108;26.12;9893a;23;0.97;StemAnalysis
0;0;9893b;23;0.17;StemAnalysis
4;0.35;9893b;23;0.43;StemAnalysis
8;1.3;9893b;23;0.63;StemAnalysis
10;2.3;9893b;23;0.51;StemAnalysis
11;3.3;9893b;23;0.21;StemAnalysis
13;4.3;9893b;23;0.44;StemAnalysis
14;5.3;9893b;23;0.99;StemAnalysis
19;7.3;9893b;23;0.89;StemAnalysis
24;9.3;9893b;23;0.36;StemAnalysis
27;11.3;9893b;23;0.79;StemAnalysis
30;13.3;9893b;23;0.34;StemAnalysis
35;15.3;9893b;23;0.63;StemAnalysis
39;17.3;9893b;23;0.28;StemAnalysis
45;19.3;9893b;23;0.84;StemAnalysis
51;21.3;9893b;23;0.74;StemAnalysis
63;23.3;9893b;23;0.92;StemAnalysis
72;25.3;9893b;23;0.21;StemAnalysis
82;27.3;9893b;23;0.29;StemAnalysis
106;28.22;9893b;23;0.62;StemAnalysis
100;14;9905a;17;0.98;H0_Age
85;14.5;9905b;17;0.51;H0_Age
